Code_recycling,Area,Year,Recycling_Rates,Per_Capita_Recycling,Per_Capita_Reuse,Area_km2,Population,Population_Density,Reuse_Facility_Density,Resource_Recovery_Efficiency,Reuse_Coverage,Number of Reuse Organisations,Number of Charity Shops - 2007,Re-use Activity Weight (tonnes),London_Status,Region_and_Borough,Postcode,recycling_ranking,Code_reuse
E09000002,Barking and Dagenham,2003,5,0.021 %/person,NaN,36.1,241300,"6,684",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2004,14,0.058 %/person,NaN,36.1,241300,"6,684",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2005,17,0.071 %/person,NaN,36.1,241100,"6,679",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2006,21,0.087 %/person,NaN,36.1,240600,"6,665",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2007,20,0.083 %/person,0.092 kg,36.1,240000,"6,648",8.3%,60.9%,27.7%,3,10,22,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2008,25,0.104 %/person,NaN,36.1,239300,"6,629",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2009,33,0.139 %/person,NaN,36.1,238100,"6,596",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,C,00AC
E09000002,Barking and Dagenham,2010,28,0.153 %/person,NaN,36.1,182800,"5,064",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2011,30,0.160 %/person,NaN,36.1,187000,"5,180",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,C,00AC
E09000002,Barking and Dagenham,2012,27,0.142 %/person,NaN,36.1,190700,"5,283",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2013,25,0.128 %/person,NaN,36.1,194600,"5,391",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2014,23,0.116 %/person,NaN,36.1,198700,"5,504",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2015,19,0.094 %/person,NaN,36.1,203100,"5,626",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,E,00AC
E09000002,Barking and Dagenham,2016,25,0.120 %/person,NaN,36.1,208200,"5,767",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2017,25,0.119 %/person,NaN,36.1,210700,"5,837",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2018,24,0.113 %/person,NaN,36.1,212000,"5,873",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2019,25,0.117 %/person,NaN,36.1,212900,"5,898",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2020,27,0.125 %/person,NaN,36.1,215200,"5,961",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,D,00AC
E09000002,Barking and Dagenham,2021,31,0.143 %/person,NaN,36.1,216900,"6,008",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,C,00AC
E09000002,Barking and Dagenham,2022,33,0.151 %/person,NaN,36.1,218600,"6,055",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,East,IG11,C,00AC
E09000003,Barnet,2003,16,0.041 %/person,NaN,86.7,388300,"4,479",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,E,00AD
E09000003,Barnet,2004,20,0.052 %/person,NaN,86.7,388100,"4,476",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,E,00AD
E09000003,Barnet,2005,27,0.070 %/person,NaN,86.7,387900,"4,474",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,D,00AD
E09000003,Barnet,2006,29,0.075 %/person,NaN,86.7,387500,"4,469",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,D,00AD
E09000003,Barnet,2007,31,0.080 %/person,0.114 kg,86.7,387000,"4,464",1.2%,50.7%,38.1%,1,33,44,Outer London,North,N2,C,00AD
E09000003,Barnet,2008,31,0.080 %/person,NaN,86.7,386100,"4,453",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2009,33,0.086 %/person,NaN,86.7,385100,"4,442",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2010,33,0.094 %/person,NaN,86.7,351400,"4,053",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2011,34,0.095 %/person,NaN,86.7,357500,"4,123",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2012,33,0.091 %/person,NaN,86.7,363800,"4,196",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2013,36,0.098 %/person,NaN,86.7,368300,"4,248",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,B,00AD
E09000003,Barnet,2014,38,0.102 %/person,NaN,86.7,373700,"4,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,B,00AD
E09000003,Barnet,2015,37,0.098 %/person,NaN,86.7,378800,"4,369",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,B,00AD
E09000003,Barnet,2016,37,0.096 %/person,NaN,86.7,384800,"4,438",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,B,00AD
E09000003,Barnet,2017,37,0.095 %/person,NaN,86.7,387800,"4,473",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,B,00AD
E09000003,Barnet,2018,35,0.089 %/person,NaN,86.7,392100,"4,522",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2019,32,0.081 %/person,NaN,86.7,395900,"4,566",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2020,29,0.073 %/person,NaN,86.7,399200,"4,604",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,D,00AD
E09000003,Barnet,2021,30,0.075 %/person,NaN,86.7,401700,"4,633",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,C,00AD
E09000003,Barnet,2022,27,0.067 %/person,NaN,86.7,404400,"4,664",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North,N2,D,00AD
E09000004,Bexley,2003,21,0.083 %/person,NaN,60.6,253000,"4,175",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,E,00AE
E09000004,Bexley,2004,30,0.118 %/person,NaN,60.6,253400,"4,182",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,C,00AE
E09000004,Bexley,2005,38,0.150 %/person,NaN,60.6,253800,"4,188",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,B,00AE
E09000004,Bexley,2006,40,0.157 %/person,NaN,60.6,254000,"4,191",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,B,00AE
E09000004,Bexley,2007,42,0.165 %/person,0.763 kg,60.6,254200,"4,195",3.3%,320.1%,36.3%,2,22,194,Outer London,South East,DA1,B,00AE
E09000004,Bexley,2008,51,0.201 %/person,NaN,60.6,254200,"4,195",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2009,51,0.201 %/person,NaN,60.6,254100,"4,193",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2010,51,0.221 %/person,NaN,60.6,230700,"3,807",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2011,54,0.232 %/person,NaN,60.6,232800,"3,842",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2012,54,0.230 %/person,NaN,60.6,234300,"3,866",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
