GSS Code,Borough,Year,Persons
E09000001,City of London,2003,3900
E09000001,City of London,2004,3900
E09000001,City of London,2005,3800
E09000001,City of London,2006,3800
E09000001,City of London,2007,3800
E09000001,City of London,2008,3800
E09000001,City of London,2009,3800
E09000001,City of London,2010,7300
E09000001,City of London,2011,7400
E09000001,City of London,2012,6600
E09000001,City of London,2013,6000
E09000001,City of London,2014,6100
E09000001,City of London,2015,6700
E09000001,City of London,2016,7200
E09000001,City of London,2017,7700
E09000001,City of London,2018,8700
E09000001,City of London,2019,9700
E09000001,City of London,2020,9700
E09000001,City of London,2021,9600
E09000001,City of London,2022,9500
E09000002,Barking and Dagenham,2003,241300
E09000002,Barking and Dagenham,2004,241300
E09000002,Barking and Dagenham,2005,241100
E09000002,Barking and Dagenham,2006,240600
E09000002,Barking and Dagenham,2007,240000
E09000002,Barking and Dagenham,2008,239300
E09000002,Barking and Dagenham,2009,238100
E09000002,Barking and Dagenham,2010,182800
E09000002,Barking and Dagenham,2011,187000
E09000002,Barking and Dagenham,2012,190700
E09000002,Barking and Dagenham,2013,194600
E09000002,Barking and Dagenham,2014,198700
E09000002,Barking and Dagenham,2015,203100
E09000002,Barking and Dagenham,2016,208200
E09000002,Barking and Dagenham,2017,210700
E09000002,Barking and Dagenham,2018,212000
E09000002,Barking and Dagenham,2019,212900
E09000002,Barking and Dagenham,2020,215200
E09000002,Barking and Dagenham,2021,216900
E09000002,Barking and Dagenham,2022,218600
E09000003,Barnet,2003,388300
E09000003,Barnet,2004,388100
E09000003,Barnet,2005,387900
E09000003,Barnet,2006,387500
E09000003,Barnet,2007,387000
E09000003,Barnet,2008,386100
E09000003,Barnet,2009,385100
E09000003,Barnet,2010,351400
E09000003,Barnet,2011,357500
E09000003,Barnet,2012,363800
E09000003,Barnet,2013,368300
E09000003,Barnet,2014,373700
E09000003,Barnet,2015,378800
E09000003,Barnet,2016,384800
E09000003,Barnet,2017,387800
E09000003,Barnet,2018,392100
E09000003,Barnet,2019,395900
E09000003,Barnet,2020,399200
E09000003,Barnet,2021,401700
E09000003,Barnet,2022,404400
E09000004,Bexley,2003,253000
E09000004,Bexley,2004,253400
E09000004,Bexley,2005,253800
E09000004,Bexley,2006,254000
E09000004,Bexley,2007,254200
E09000004,Bexley,2008,254200
E09000004,Bexley,2009,254100
E09000004,Bexley,2010,230700
E09000004,Bexley,2011,232800
E09000004,Bexley,2012,234300
E09000004,Bexley,2013,236800
E09000004,Bexley,2014,240000
E09000004,Bexley,2015,242400
E09000004,Bexley,2016,245100
E09000004,Bexley,2017,246100
E09000004,Bexley,2018,247300
E09000004,Bexley,2019,248300
E09000004,Bexley,2020,249400
E09000004,Bexley,2021,250500
E09000004,Bexley,2022,251700
E09000005,Brent,2003,321600
E09000005,Brent,2004,320800
E09000005,Brent,2005,319900
E09000005,Brent,2006,319000
E09000005,Brent,2007,317800
E09000005,Brent,2008,316600
